BJD - 2454833, Corrected Flux
2995.162053426, 0.992582820,
2995.182485740, 0.992549405,
2995.202917854, 0.992365790,
2995.223350067, 0.992562610,
2995.243782380, 0.992464671,
2995.264214492, 0.992467484,
2995.284646804, 0.992433088,
2995.305079016, 0.992395553,
2995.325511126, 0.992492159,
2995.386807755, 0.992478818,
2995.407240064, 0.992636719,
2995.427672271, 0.992757903,
2995.448104379, 0.992621945,
2995.468536686, 0.992942378,
2995.488968893, 0.992422230,
2995.509400998, 0.992476268,
2995.529833304, 0.991770448,
2995.550265509, 0.984481145,
2995.570697613, 0.982877345,
2995.591129916, 0.982194783,
2995.611562120, 0.981940475,
2995.631994223, 0.982286831,
2995.652426525, 0.982493256,
2995.672858726, 0.983201627,
2995.693290827, 0.987449343,
2995.713723128, 0.992602084,
2995.734155328, 0.992629555,
2995.754587428, 0.992748399,
2995.775019726, 0.992829051,
2995.795451925, 0.992863538,
2995.815884123, 0.992778507,
2995.836316320, 0.992828884,
2995.856748517, 0.993099125,
2995.877180713, 0.992800935,
2995.897613009, 0.992994460,
2995.918045104, 0.992934453,
2995.938477299, 0.993107599,
2995.958909593, 0.993018193,
2995.979341687, 0.992959260,
2995.999773880, 0.992889771,
2996.020206172, 0.992917830,
2996.040638265, 0.992907372,
2996.061070456, 0.992897933,
2996.081502747, 0.992979597,
2996.101934837, 0.992929566,
2996.122367027, 0.993205773,
2996.142799217, 0.992786282,
2996.163231405, 0.992935190,
2996.183663594, 0.992944039,
2996.204095782, 0.992707041,
2996.224527969, 0.993067196,
2996.244960156, 0.993085832,
2996.265392442, 0.993176042,
2996.285824528, 0.992842029,
2996.306256713, 0.993142885,
2996.326688998, 0.993358944,
2996.347121082, 0.993246589,
2996.367553266, 0.993217411,
2996.387985549, 0.993151199,
2996.408417631, 0.993293179,
2996.428849813, 0.993087925,
2996.449282094, 0.993353602,
2996.469714175, 0.992967058,
2996.490146456, 0.993235437,
2996.510578636, 0.993109483,
2996.531010715, 0.993743913,
2996.551442994, 0.993196566,
2996.571875173, 0.993314312,
2996.592307250, 0.992912964,
2996.612739527, 0.993301648,
2996.633171704, 0.993253115,
2996.653603880, 0.993315236,
2996.674036056, 0.993194214,
2996.694468232, 0.993180449,
2996.714900406, 0.993267123,
2996.735332680, 0.993275787,
2996.755764754, 0.993060749,
2996.776196927, 0.993299325,
2996.796629200, 0.993186156,
2996.817061272, 0.992860927,
2996.837493444, 0.992865339,
2996.857925714, 0.993113789,
2996.878357785, 0.992964673,
2996.898789955, 0.993127652,
2996.919222124, 0.993047704,
2996.939654293, 0.993077474,
2996.960086462, 0.992685838,
2996.980518629, 0.992819015,
2997.000950797, 0.993005785,
2997.021382964, 0.993025799,
2997.041815130, 0.992949206,
2997.062247296, 0.992886068,
2997.082679462, 0.993012661,
2997.103111726, 0.992792449,
2997.123543790, 0.992668774,
2997.143975954, 0.992697303,
2997.164408217, 0.992711685,
2997.184840280, 0.992640227,
2997.205272442, 0.992417744,
2997.225704704, 0.992594198,
2997.246136765, 0.992586587,
2997.266568925, 0.992583074,
2997.287001186, 0.992538426,
2997.307433245, 0.992550885,
2997.348297663, 0.992769470,
2997.368729721, 0.992714223,
2997.389161879, 0.992347778,
2997.409594136, 0.992754626,
2997.430026192, 0.992523052,
2997.450458348, 0.992549928,
2997.470890604, 0.992692503,
2997.491322759, 0.992794216,
2997.511754813, 0.992926424,
2997.532187067, 0.992959823,
2997.552619220, 0.992888442,
